time ;tempf 555010000;tempf 555250000;tempf 555500000;htvat 5550001;htvat 5550025;htvat 5550050;httemp 555000101;httemp 555002501;httemp 555005001;cntrlvar 110
0.000000e+00;5.514500e+02;5.514500e+02;5.514500e+02;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;6.419521e+01
5.001979e-01;5.524979e+02;5.594497e+02;5.587664e+02;9.693643e+02;9.973608e+02;9.411176e+02;1.001740e+03;1.052982e+03;9.999993e+02;8.955581e+01
1.000198e+00;5.524459e+02;5.588049e+02;5.586581e+02;9.416777e+02;1.002012e+03;9.099008e+02;1.003431e+03;1.105522e+03;9.999384e+02;5.050119e+01
1.505273e+00;5.530796e+02;5.588659e+02;5.582228e+02;8.973686e+02;1.017853e+03;8.809728e+02;1.004806e+03;1.157841e+03;9.993716e+02;5.398290e+01
2.002399e+00;5.519536e+02;5.590446e+02;5.586999e+02;8.734092e+02;1.039487e+03;8.643927e+02;1.005325e+03;1.207994e+03;9.975607e+02;4.652234e+01
2.504301e+00;5.519022e+02;5.584780e+02;5.586396e+02;8.654043e+02;1.045270e+03;8.555965e+02;1.004428e+03;1.256756e+03;9.939444e+02;5.277885e+01
3.005165e+00;5.518826e+02;5.587515e+02;5.586699e+02;8.579296e+02;1.061982e+03;8.476509e+02;1.001660e+03;1.303282e+03;9.884247e+02;3.605161e+01
3.501112e+00;5.518665e+02;5.588346e+02;5.586973e+02;8.509093e+02;1.082317e+03;8.397634e+02;9.970790e+02;1.347140e+03;9.813222e+02;3.707391e+01
4.004658e+00;5.518503e+02;5.588386e+02;5.586984e+02;8.440946e+02;1.101908e+03;8.321616e+02;9.909009e+02;1.389370e+03;9.728694e+02;3.825869e+01
4.503007e+00;5.518360e+02;5.588454e+02;5.586977e+02;8.376239e+02;1.120242e+03;8.249241e+02;9.837023e+02;1.428961e+03;9.636889e+02;3.946174e+01
5.002460e+00;5.518229e+02;5.588520e+02;5.586969e+02;8.313839e+02;1.137579e+03;8.179298e+02;9.757885e+02;1.466557e+03;9.540115e+02;4.066909e+01
5.503357e+00;5.518107e+02;5.588585e+02;5.586961e+02;8.253526e+02;1.153950e+03;8.111561e+02;9.674466e+02;1.502293e+03;9.440734e+02;4.186566e+01
6.000617e+00;5.517994e+02;5.588646e+02;5.586952e+02;8.195733e+02;1.169222e+03;8.046547e+02;9.589776e+02;1.535951e+03;9.341581e+02;4.303052e+01
6.501359e+00;5.517886e+02;5.588706e+02;5.586942e+02;8.139496e+02;1.183643e+03;7.983184e+02;9.504095e+02;1.568130e+03;9.242523e+02;4.417295e+01
7.000855e+00;5.517785e+02;5.588760e+02;5.586927e+02;8.085248e+02;1.197109e+03;7.921977e+02;9.419230e+02;1.598611e+03;9.145328e+02;4.527777e+01
7.502968e+00;5.517689e+02;5.588811e+02;5.586912e+02;8.032475e+02;1.209758e+03;7.862363e+02;9.335289e+02;1.627713e+03;9.049773e+02;4.635070e+01
8.002288e+00;5.517596e+02;5.588858e+02;5.586898e+02;7.981659e+02;1.221490e+03;7.804897e+02;9.253642e+02;1.655175e+03;8.957189e+02;4.737762e+01
8.504002e+00;5.517509e+02;5.588904e+02;5.586883e+02;7.932196e+02;1.232466e+03;7.748902e+02;9.173712e+02;1.681339e+03;8.866772e+02;4.836837e+01
9.000831e+00;5.517424e+02;5.588947e+02;5.586868e+02;7.884725e+02;1.242567e+03;7.695106e+02;9.096793e+02;1.705898e+03;8.779868e+02;4.930812e+01
9.502748e+00;5.517344e+02;5.588989e+02;5.586852e+02;7.838234e+02;1.252035e+03;7.642366e+02;9.021402e+02;1.729373e+03;8.694719e+02;5.021450e+01
1.000276e+01;5.517266e+02;5.589030e+02;5.586838e+02;7.793326e+02;1.260769e+03;7.591370e+02;8.948616e+02;1.751460e+03;8.612457e+02;5.107458e+01
1.050597e+01;5.517191e+02;5.589069e+02;5.586823e+02;7.749493e+02;1.268895e+03;7.541545e+02;8.877673e+02;1.772411e+03;8.532240e+02;5.189736e+01
1.100563e+01;5.517119e+02;5.589105e+02;5.586788e+02;7.707274e+02;1.276342e+03;7.493500e+02;8.809462e+02;1.791985e+03;8.455117e+02;5.267232e+01
1.150710e+01;5.517050e+02;5.589139e+02;5.586722e+02;7.666160e+02;1.283227e+03;7.446656e+02;8.743173e+02;1.810420e+03;8.380182e+02;5.340824e+01
1.200375e+01;5.516984e+02;5.589169e+02;5.586655e+02;7.626640e+02;1.289500e+03;7.401578e+02;8.679580e+02;1.827541e+03;8.308325e+02;5.409632e+01
1.250724e+01;5.516920e+02;5.589197e+02;5.586589e+02;7.587750e+02;1.295340e+03;7.357169e+02;8.617107e+02;1.843772e+03;8.237784e+02;5.475362e+01
1.300511e+01;5.516858e+02;5.589224e+02;5.586532e+02;7.550417e+02;1.300635e+03;7.314491e+02;8.557280e+02;1.858764e+03;8.170225e+02;5.536497e+01
1.350310e+01;5.516798e+02;5.589248e+02;5.586486e+02;7.514152e+02;1.305489e+03;7.272987e+02;8.499327e+02;1.872767e+03;8.104745e+02;5.593939e+01
1.400704e+01;5.516740e+02;5.589270e+02;5.586449e+02;7.478516e+02;1.309981e+03;7.232153e+02;8.442542e+02;1.885983e+03;8.040527e+02;5.648424e+01
