time ;cntrlvar 110;tempf 555500000;httemp 555000101;httemp 555002501;httemp 555005001;httemp 555000108;httemp 555002508;httemp 555005008;httemp 555002501;httemp 555002502;httemp 555002503;httemp 555002504;httemp 555002505;httemp 555002506;httemp 555002507;httemp 555002508;httemp 555002509;httemp 555002510;tempf 555250000;cntrlvar 120;httemp 555000101;httemp 555000201;httemp 555000301;httemp 555000401;httemp 555000501;httemp 555000601;httemp 555000701;httemp 555000801;httemp 555000901;httemp 555001001;httemp 555001101;httemp 555001201;httemp 555001301;httemp 555001401;httemp 555001501;httemp 555001601;httemp 555001701;httemp 555001801;httemp 555001901;httemp 555002001;httemp 555002101;httemp 555002201;httemp 555002301;httemp 555002401;httemp 555002501;httemp 555002601;httemp 555002701;httemp 555002801;httemp 555002901;httemp 555003001;httemp 555003101;httemp 555003201;httemp 555003301;httemp 555003401;httemp 555003501;httemp 555003601;httemp 555003701;httemp 555003801;httemp 555003901;httemp 555004001;httemp 555004101;httemp 555004201;httemp 555004301;httemp 555004401;httemp 555004501;httemp 555004601;httemp 555004701;httemp 555004801;httemp 555004901;httemp 555005001;htmode 555000101;htmode 555000201;htmode 555000301;htmode 555000401;htmode 555000501;htmode 555000601;htmode 555000701;htmode 555000801;htmode 555000901;htmode 555001001;htmode 555001101;htmode 555001201;htmode 555001301;htmode 555001401;htmode 555001501;htmode 555001601;htmode 555001701;htmode 555001801;htmode 555001901;htmode 555002001;htmode 555002101;htmode 555002201;htmode 555002301;htmode 555002401;htmode 555002501;htmode 555002601;htmode 555002701;htmode 555002801;htmode 555002901;htmode 555003001;htmode 555003101;htmode 555003201;htmode 555003301;htmode 555003401;htmode 555003501;htmode 555003601;htmode 555003701;htmode 555003801;htmode 555003901;htmode 555004001;htmode 555004101;htmode 555004201;htmode 555004301;htmode 555004401;htmode 555004501;htmode 555004601;htmode 555004701;htmode 555004801;htmode 555004901;htmode 555005001;quale 555500000;voidg 555500000
0.000000e+00;6.419521e+01;5.514500e+02;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;5.514500e+02;0.000000e+00;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;5.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;-3.160368e-02;0.000000e+00
5.001979e-01;8.955581e+01;5.587664e+02;1.001740e+03;1.052982e+03;9.999993e+02;8.837787e+02;8.498941e+02;7.845054e+02;1.052982e+03;1.052981e+03;1.052968e+03;1.052883e+03;1.052369e+03;1.049668e+03;1.037667e+03;8.498941e+02;8.442406e+02;8.325615e+02;5.594497e+02;6.970379e-01;1.001740e+03;1.005212e+03;1.008660e+03;1.012070e+03;1.015426e+03;1.018715e+03;1.021922e+03;1.025035e+03;1.028039e+03;1.030922e+03;1.033672e+03;1.036278e+03;1.038727e+03;1.041010e+03;1.043118e+03;1.045040e+03;1.046770e+03;1.048300e+03;1.049624e+03;1.050736e+03;1.051630e+03;1.052305e+03;1.052756e+03;1.052982e+03;1.052982e+03;1.052756e+03;1.052305e+03;1.051630e+03;1.050736e+03;1.049624e+03;1.048300e+03;1.046770e+03;1.045040e+03;1.043118e+03;1.041010e+03;1.038727e+03;1.036277e+03;1.033672e+03;1.030922e+03;1.028039e+03;1.025035e+03;1.021922e+03;1.018715e+03;1.015426e+03;1.012070e+03;1.008660e+03;1.005212e+03;1.001740e+03;9.999993e+02;9.999993e+02;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;8.000000e+00;1.096022e-01;7.501872e-01
1.000198e+00;5.050119e+01;5.586581e+02;1.003431e+03;1.105522e+03;9.999384e+02;7.871337e+02;7.432025e+02;6.850631e+02;1.105522e+03;1.105469e+03;1.105195e+03;1.104123e+03;1.100318e+03;1.088411e+03;1.057203e+03;7.432025e+02;7.374926e+02;7.297308e+02;5.588049e+02;4.462309e-01;1.003431e+03;1.010370e+03;1.017259e+03;1.024067e+03;1.030766e+03;1.037327e+03;1.043723e+03;1.049927e+03;1.055913e+03;1.061655e+03;1.067131e+03;1.072316e+03;1.077189e+03;1.081731e+03;1.085922e+03;1.089744e+03;1.093183e+03;1.096223e+03;1.098853e+03;1.101061e+03;1.102838e+03;1.104178e+03;1.105074e+03;1.105523e+03;1.105522e+03;1.105073e+03;1.104177e+03;1.102837e+03;1.101060e+03;1.098851e+03;1.096221e+03;1.093181e+03;1.089742e+03;1.085919e+03;1.081727e+03;1.077185e+03;1.072311e+03;1.067125e+03;1.061649e+03;1.055906e+03;1.049920e+03;1.043715e+03;1.037318e+03;1.030756e+03;1.024056e+03;1.017248e+03;1.010359e+03;1.003419e+03;9.999393e+02;9.999384e+02;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;6.000000e+00;2.524151e-01;9.108376e-01
1.505273e+00;5.398290e+01;5.582228e+02;1.004806e+03;1.157841e+03;9.993716e+02;6.404656e+02;6.933770e+02;6.102841e+02;1.157841e+03;1.157546e+03;1.156313e+03;1.152682e+03;1.143139e+03;1.120816e+03;1.075315e+03;6.933770e+02;6.868638e+02;6.794897e+02;5.588659e+02;6.598809e-01;1.004806e+03;1.015247e+03;1.025604e+03;1.035835e+03;1.045897e+03;1.055747e+03;1.065344e+03;1.074649e+03;1.083623e+03;1.092230e+03;1.100432e+03;1.108197e+03;1.115492e+03;1.122287e+03;1.128556e+03;1.134272e+03;1.139413e+03;1.143957e+03;1.147886e+03;1.151184e+03;1.153839e+03;1.155839e+03;1.157176e+03;1.157844e+03;1.157841e+03;1.157167e+03;1.155825e+03;1.153820e+03;1.151160e+03;1.147855e+03;1.143919e+03;1.139368e+03;1.134221e+03;1.128497e+03;1.122219e+03;1.115415e+03;1.108111e+03;1.100337e+03;1.092125e+03;1.083507e+03;1.074522e+03;1.065205e+03;1.055597e+03;1.045736e+03;1.035665e+03;1.025427e+03;1.015064e+03;1.004619e+03;9.993774e+02;9.993716e+02;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;2.009959e-01;8.816106e-01
2.002399e+00;4.652234e+01;5.586999e+02;1.005325e+03;1.207994e+03;9.975607e+02;5.707147e+02;6.761800e+02;5.716890e+02;1.207994e+03;1.207215e+03;1.204299e+03;1.197051e+03;1.181090e+03;1.149449e+03;1.093639e+03;6.761800e+02;6.690347e+02;6.616011e+02;5.590446e+02;7.652678e-01;1.005325e+03;1.019226e+03;1.033003e+03;1.046606e+03;1.059972e+03;1.073046e+03;1.085777e+03;1.098110e+03;1.109991e+03;1.121379e+03;1.132228e+03;1.142493e+03;1.152134e+03;1.161111e+03;1.169390e+03;1.176936e+03;1.183719e+03;1.189714e+03;1.194895e+03;1.199243e+03;1.202742e+03;1.205374e+03;1.207132e+03;1.208006e+03;1.207994e+03;1.207095e+03;1.205311e+03;1.202652e+03;1.199126e+03;1.194748e+03;1.189534e+03;1.183507e+03;1.176688e+03;1.169106e+03;1.160787e+03;1.151769e+03;1.142086e+03;1.131777e+03;1.120884e+03;1.109450e+03;1.097521e+03;1.085141e+03;1.072369e+03;1.059257e+03;1.045862e+03;1.032240e+03;1.018449e+03;1.004544e+03;9.975552e+02;9.975607e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;1.051095e-01;8.360023e-01
2.504301e+00;5.277885e+01;5.586396e+02;1.004428e+03;1.256756e+03;9.939444e+02;5.696649e+02;6.109774e+02;5.706745e+02;1.256756e+03;1.255301e+03;1.250192e+03;1.238781e+03;1.216346e+03;1.176044e+03;1.108982e+03;6.109774e+02;5.971675e+02;5.756670e+02;5.584780e+02;3.523321e-01;1.004428e+03;1.021883e+03;1.039162e+03;1.056212e+03;1.072938e+03;1.089278e+03;1.105158e+03;1.120513e+03;1.135290e+03;1.149440e+03;1.162912e+03;1.175655e+03;1.187617e+03;1.198752e+03;1.209015e+03;1.218368e+03;1.226771e+03;1.234192e+03;1.240604e+03;1.245983e+03;1.250308e+03;1.253558e+03;1.255723e+03;1.256790e+03;1.256756e+03;1.255619e+03;1.253383e+03;1.250059e+03;1.245657e+03;1.240194e+03;1.233692e+03;1.226176e+03;1.217674e+03;1.208219e+03;1.197845e+03;1.186598e+03;1.174520e+03;1.161659e+03;1.148068e+03;1.133803e+03;1.118917e+03;1.103465e+03;1.087501e+03;1.071099e+03;1.054338e+03;1.037292e+03;1.020034e+03;1.002626e+03;9.938615e+02;9.939444e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;1.866665e-01;8.658299e-01
3.005165e+00;3.605161e+01;5.586699e+02;1.001660e+03;1.303282e+03;9.884247e+02;5.689052e+02;5.868419e+02;5.712040e+02;1.303282e+03;1.301043e+03;1.293474e+03;1.277599e+03;1.248237e+03;1.197954e+03;1.118204e+03;5.868419e+02;5.770772e+02;5.679142e+02;5.587515e+02;3.891605e-01;1.001660e+03;1.022719e+03;1.043559e+03;1.064126e+03;1.084275e+03;1.103913e+03;1.122939e+03;1.141302e+03;1.158942e+03;1.175811e+03;1.191858e+03;1.207029e+03;1.221265e+03;1.234511e+03;1.246715e+03;1.257831e+03;1.267810e+03;1.276619e+03;1.284225e+03;1.290601e+03;1.295722e+03;1.299562e+03;1.302111e+03;1.303354e+03;1.303282e+03;1.301895e+03;1.299197e+03;1.295200e+03;1.289918e+03;1.283368e+03;1.275574e+03;1.266563e+03;1.256371e+03;1.245042e+03;1.232614e+03;1.219148e+03;1.204692e+03;1.189302e+03;1.173041e+03;1.155974e+03;1.138168e+03;1.119679e+03;1.100569e+03;1.080902e+03;1.060788e+03;1.040333e+03;1.019632e+03;9.987455e+02;9.882142e+02;9.884247e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;3.437715e-01;9.467506e-01
3.501112e+00;3.707391e+01;5.586973e+02;9.970790e+02;1.347140e+03;9.813222e+02;5.682953e+02;5.882574e+02;5.703267e+02;1.347140e+03;1.344047e+03;1.333823e+03;1.313231e+03;1.276895e+03;1.218142e+03;1.130937e+03;5.882574e+02;5.779682e+02;5.683128e+02;5.588346e+02;4.589177e-01;9.970790e+02;1.021682e+03;1.046041e+03;1.070107e+03;1.093678e+03;1.116590e+03;1.138746e+03;1.160090e+03;1.180560e+03;1.200098e+03;1.218672e+03;1.236225e+03;1.252686e+03;1.267993e+03;1.282088e+03;1.294917e+03;1.306427e+03;1.316578e+03;1.325336e+03;1.332671e+03;1.338554e+03;1.342956e+03;1.345866e+03;1.347264e+03;1.347140e+03;1.345492e+03;1.342325e+03;1.337654e+03;1.331497e+03;1.323868e+03;1.314790e+03;1.304292e+03;1.292429e+03;1.279259e+03;1.264817e+03;1.249179e+03;1.232396e+03;1.214538e+03;1.195678e+03;1.175885e+03;1.155236e+03;1.133791e+03;1.111617e+03;1.088775e+03;1.065374e+03;1.041585e+03;1.017521e+03;9.932393e+02;9.809863e+02;9.813222e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;1.113285e-01;8.524044e-01
4.004658e+00;3.825869e+01;5.586984e+02;9.909009e+02;1.389370e+03;9.728694e+02;5.677291e+02;5.897001e+02;5.698276e+02;1.389370e+03;1.385352e+03;1.372310e+03;1.346935e+03;1.304104e+03;1.237960e+03;1.143930e+03;5.897001e+02;5.788541e+02;5.686703e+02;5.588386e+02;4.642340e-01;9.909009e+02;1.019009e+03;1.046860e+03;1.074414e+03;1.101404e+03;1.127591e+03;1.152887e+03;1.177230e+03;1.200541e+03;1.222764e+03;1.243881e+03;1.263829e+03;1.282522e+03;1.299896e+03;1.315879e+03;1.330417e+03;1.343452e+03;1.354943e+03;1.364851e+03;1.373141e+03;1.379781e+03;1.384742e+03;1.388008e+03;1.389557e+03;1.389370e+03;1.387451e+03;1.383803e+03;1.378449e+03;1.371412e+03;1.362700e+03;1.352336e+03;1.340348e+03;1.326825e+03;1.311835e+03;1.295399e+03;1.277608e+03;1.258516e+03;1.238206e+03;1.216767e+03;1.194273e+03;1.170802e+03;1.146430e+03;1.121214e+03;1.095227e+03;1.068554e+03;1.041447e+03;1.014044e+03;9.863917e+02;9.724332e+02;9.728694e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;1.152964e-01;8.560388e-01
4.503007e+00;3.946174e+01;5.586977e+02;9.837023e+02;1.428961e+03;9.636889e+02;5.672141e+02;5.911262e+02;5.693817e+02;1.428961e+03;1.424011e+03;1.408187e+03;1.378278e+03;1.329522e+03;1.256671e+03;1.156074e+03;5.911262e+02;5.797284e+02;5.690199e+02;5.588454e+02;4.695305e-01;9.837023e+02;1.015159e+03;1.046344e+03;1.077238e+03;1.107502e+03;1.136838e+03;1.165155e+03;1.192397e+03;1.218457e+03;1.243291e+03;1.266884e+03;1.289158e+03;1.310017e+03;1.329391e+03;1.347208e+03;1.363405e+03;1.377924e+03;1.390722e+03;1.401757e+03;1.410988e+03;1.418377e+03;1.423888e+03;1.427507e+03;1.429207e+03;1.428961e+03;1.426778e+03;1.422663e+03;1.416645e+03;1.408753e+03;1.398992e+03;1.387387e+03;1.373969e+03;1.358856e+03;1.342122e+03;1.323783e+03;1.303936e+03;1.282631e+03;1.259963e+03;1.236040e+03;1.210947e+03;1.184762e+03;1.157575e+03;1.129431e+03;1.100422e+03;1.070595e+03;1.040292e+03;1.009677e+03;9.787816e+02;9.631842e+02;9.636889e+02;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;3.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;4.000000e+00;1.194568e-01;8.595802e-01
