time ;cntrlvar 110;tempf 555500000;httemp 555000101;httemp 555002501;httemp 555005001;httemp 555000108;httemp 555002508;httemp 555005008;httemp 555002501;httemp 555002502;httemp 555002503;httemp 555002504;httemp 555002505;httemp 555002506;httemp 555002507;httemp 555002508;httemp 555002509;httemp 555002510;cntrlvar 120;htmode 555000101;htmode 555002501;htmode 555005001;htchfr 555000101;htchfr 555002501;htchfr 555005001
0.000000e+00;1.595415e+02;5.662500e+02;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;0.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;1.234567e+01;1.234567e+01;1.234567e+01
5.001979e-01;4.283111e+01;5.934267e+02;1.002675e+03;1.081584e+03;9.999908e+02;7.280059e+02;7.628641e+02;7.604340e+02;1.081584e+03;1.081571e+03;1.081493e+03;1.081113e+03;1.079454e+03;1.073246e+03;1.054261e+03;7.628641e+02;7.588526e+02;7.526463e+02;7.429662e-01;7.000000e+00;7.000000e+00;7.000000e+00;1.174017e+01;1.078386e+01;1.198547e+01
1.000198e+00;3.518784e+01;5.888088e+02;1.004913e+03;1.161918e+03;9.995917e+02;5.888621e+02;6.996649e+02;6.965085e+02;1.161918e+03;1.161694e+03;1.160757e+03;1.157993e+03;1.150737e+03;1.133776e+03;1.099099e+03;6.996649e+02;6.951096e+02;6.901229e+02;7.607821e-01;2.000000e+00;7.000000e+00;7.000000e+00;1.234567e+01;1.679807e+01;1.930530e+01
1.507135e+00;3.336686e+01;5.839093e+02;1.005426e+03;1.241039e+03;9.976312e+02;5.768640e+02;6.913724e+02;5.955283e+02;1.241039e+03;1.240254e+03;1.237404e+03;1.230664e+03;1.216561e+03;1.189788e+03;1.143823e+03;6.913724e+02;6.863295e+02;6.816108e+02;7.376019e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.903499e+01;1.234567e+01
2.003892e+00;2.642172e+01;5.831204e+02;1.003324e+03;1.315450e+03;9.935254e+02;5.764056e+02;6.957585e+02;5.934493e+02;1.315450e+03;1.313906e+03;1.308653e+03;1.297539e+03;1.276879e+03;1.241638e+03;1.186092e+03;6.957585e+02;6.900684e+02;6.848547e+02;7.507440e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.768442e+01;1.234567e+01
2.500654e+00;2.697037e+01;5.802064e+02;9.987263e+02;1.386568e+03;9.872164e+02;5.760374e+02;7.049031e+02;5.892964e+02;1.386568e+03;1.384189e+03;1.376382e+03;1.360876e+03;1.333949e+03;1.290665e+03;1.225619e+03;7.049031e+02;6.986206e+02;6.929299e+02;7.544837e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.614849e+01;1.234567e+01
3.004946e+00;2.868160e+01;5.812924e+02;9.922247e+02;1.455684e+03;9.789576e+02;5.757143e+02;7.164413e+02;5.899203e+02;1.455684e+03;1.452432e+03;1.441988e+03;1.422034e+03;1.388850e+03;1.337578e+03;1.262880e+03;7.164413e+02;7.095748e+02;7.033547e+02;7.551090e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.457681e+01;1.234567e+01
3.501715e+00;3.041166e+01;5.819396e+02;9.847339e+02;1.520975e+03;9.696204e+02;5.754292e+02;7.284810e+02;5.900883e+02;1.520975e+03;1.516864e+03;1.503829e+03;1.479518e+03;1.440164e+03;1.380993e+03;1.296832e+03;7.284810e+02;7.210583e+02;7.143163e+02;7.559885e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.324218e+01;1.234567e+01
4.006015e+00;3.223066e+01;5.828931e+02;9.765624e+02;1.584548e+03;9.594880e+02;5.751638e+02;7.409075e+02;5.907039e+02;1.584548e+03;1.579564e+03;1.563900e+03;1.535163e+03;1.489594e+03;1.422354e+03;1.328506e+03;7.409075e+02;7.329442e+02;7.256879e+02;7.568195e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.210775e+01;1.234567e+01
4.502790e+00;3.399809e+01;5.838224e+02;9.682936e+02;1.644598e+03;9.492549e+02;5.749203e+02;7.531652e+02;5.913260e+02;1.644598e+03;1.638754e+03;1.620493e+03;1.587402e+03;1.535658e+03;1.460502e+03;1.357203e+03;7.531652e+02;7.446929e+02;7.369498e+02;7.576296e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.117050e+01;1.234567e+01
5.007095e+00;3.575465e+01;5.847454e+02;9.598879e+02;1.703005e+03;9.388646e+02;5.746877e+02;7.655153e+02;5.919573e+02;1.703005e+03;1.696283e+03;1.675386e+03;1.637859e+03;1.579873e+03;1.496709e+03;1.383869e+03;7.655153e+02;7.565526e+02;7.483375e+02;7.584403e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;1.036611e+01;1.234567e+01
5.503876e+00;3.743946e+01;5.856294e+02;9.517172e+02;1.758041e+03;9.287888e+02;5.744706e+02;7.774971e+02;5.925706e+02;1.758041e+03;1.750468e+03;1.726996e+03;1.685098e+03;1.620970e+03;1.529989e+03;1.407890e+03;7.774971e+02;7.680770e+02;7.594199e+02;7.592244e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;9.691462e+00;1.234567e+01
6.000659e+00;3.907381e+01;5.864846e+02;9.437218e+02;1.810479e+03;9.189607e+02;5.742640e+02;7.892490e+02;5.931697e+02;1.810479e+03;1.802101e+03;1.776121e+03;1.729969e+03;1.659725e+03;1.560972e+03;1.429882e+03;7.892490e+02;7.793962e+02;7.703193e+02;7.599921e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;9.111109e+00;1.234567e+01
6.504971e+00;4.067612e+01;5.873211e+02;9.358289e+02;1.860730e+03;9.092840e+02;5.740637e+02;8.008669e+02;5.937597e+02;1.860730e+03;1.851570e+03;1.823242e+03;1.773003e+03;1.696768e+03;1.590260e+03;1.450214e+03;8.008669e+02;7.906017e+02;7.811227e+02;7.607512e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;8.602347e+00;1.234567e+01
7.001759e+00;4.219464e+01;5.881119e+02;9.282953e+02;1.907442e+03;9.000676e+02;5.738749e+02;8.119501e+02;5.943196e+02;1.907442e+03;1.897511e+03;1.866863e+03;1.812767e+03;1.731007e+03;1.617106e+03;1.468478e+03;8.119501e+02;8.013038e+02;7.914520e+02;7.614771e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;8.167413e+00;1.234567e+01
7.506075e+00;4.367304e+01;5.888793e+02;9.208997e+02;1.952195e+03;8.910372e+02;5.736915e+02;8.228125e+02;5.948640e+02;1.952195e+03;1.941490e+03;1.908525e+03;1.850587e+03;1.763459e+03;1.642333e+03;1.485408e+03;8.228125e+02;8.118036e+02;8.015959e+02;7.621905e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;7.781655e+00;1.234567e+01
8.002867e+00;4.506536e+01;5.896001e+02;9.138624e+02;1.993786e+03;8.824578e+02;5.735184e+02;8.330917e+02;5.953753e+02;1.993786e+03;1.982344e+03;1.947124e+03;1.885432e+03;1.793120e+03;1.665374e+03;1.500560e+03;8.330917e+02;8.217495e+02;8.112134e+02;7.628680e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;7.448424e+00;1.234567e+01
8.507188e+00;4.641267e+01;5.902956e+02;9.069644e+02;2.033381e+03;8.740593e+02;5.733498e+02;8.430716e+02;5.958680e+02;2.033381e+03;2.021283e+03;1.983932e+03;1.918515e+03;1.821095e+03;1.687004e+03;1.514516e+03;8.430716e+02;8.314146e+02;8.205671e+02;7.635292e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;7.150745e+00;1.234567e+01
9.003983e+00;4.767387e+01;5.909449e+02;9.004045e+02;2.069899e+03;8.660789e+02;5.731902e+02;8.524320e+02;5.963265e+02;2.069899e+03;2.057164e+03;2.017937e+03;1.948997e+03;1.846726e+03;1.706659e+03;1.526955e+03;8.524320e+02;8.404871e+02;8.293540e+02;7.641529e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;6.892023e+00;1.234567e+01
9.500781e+00;4.886972e+01;5.915588e+02;8.940698e+02;2.104149e+03;8.583745e+02;5.730370e+02;8.613248e+02;5.967582e+02;2.104149e+03;2.090788e+03;2.049663e+03;1.977528e+03;1.870528e+03;1.724712e+03;1.538263e+03;8.613248e+02;8.491121e+02;8.377128e+02;7.647491e-01;2.000000e+00;7.000000e+00;2.000000e+00;1.234567e+01;6.662654e+00;1.234567e+01
