time ;cntrlvar 110;tempf 555500000;httemp 555000101;httemp 555002501;httemp 555005001;httemp 555000108;httemp 555002508;httemp 555005008;httemp 555002501;httemp 555002502;httemp 555002503;httemp 555002504;httemp 555002505;httemp 555002506;httemp 555002507;httemp 555002508;httemp 555002509;httemp 555002510;tempf 555250000;cntrlvar 120;httemp 555000101;httemp 555000201;httemp 555000401;httemp 555000501;httemp 555000601;httemp 555000701;httemp 555000801;httemp 555000901;httemp 555001001;httemp 555001101;httemp 555001201;httemp 555001301;httemp 555001401;httemp 555001501;httemp 555001601;httemp 555001701;httemp 555001801;httemp 555001901;httemp 555002001;httemp 555002101;httemp 555002201;httemp 555002301;httemp 555002401;httemp 555002501;httemp 555002601;httemp 555002701;httemp 555002801;httemp 555002901;httemp 555003001;httemp 555003101;httemp 555003201;httemp 555003301;httemp 555003401;httemp 555003501;httemp 555003601;httemp 555003701;httemp 555003801;httemp 555003901;httemp 555004001;httemp 555004101;httemp 555004201;httemp 555004301;httemp 555004401;httemp 555004501;httemp 555004601;httemp 555004701;httemp 555004801;httemp 555004901;httemp 555005001;htmode 555000101;htmode 555000201;htmode 555000301;htmode 555000401;htmode 555000501;htmode 555000601;htmode 555000701;htmode 555000801;htmode 555000901;htmode 555001001;htmode 555001101;htmode 555001201;htmode 555001301;htmode 555001401;htmode 555001501;htmode 555001601;htmode 555001701;htmode 555001801;htmode 555001901;htmode 555002001;htmode 555002101;htmode 555002201;htmode 555002301;htmode 555002401;htmode 555002501;htmode 555002601;htmode 555002701;htmode 555002801;htmode 555002901;htmode 555003001;htmode 555003101;htmode 555003201;htmode 555003301;htmode 555003401;htmode 555003501;htmode 555003601;htmode 555003701;htmode 555003801;htmode 555003901;htmode 555004001;htmode 555004101;htmode 555004201;htmode 555004301;htmode 555004401;htmode 555004501;htmode 555004601;htmode 555004701;htmode 555004801;htmode 555004901;htmode 555005001
0.000000e+00;1.595415e+02;5.662500e+02;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;5.662500e+02;0.000000e+00;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;1.000000e+03;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00
5.001979e-01;4.283111e+01;5.934267e+02;1.002675e+03;1.081584e+03;9.999908e+02;7.280059e+02;7.628641e+02;7.604340e+02;1.081584e+03;1.081571e+03;1.081493e+03;1.081113e+03;1.079454e+03;1.073246e+03;1.054261e+03;7.628641e+02;7.588526e+02;7.526463e+02;5.841125e+02;7.429662e-01;1.002675e+03;1.008030e+03;1.018605e+03;1.023778e+03;1.028847e+03;1.033789e+03;1.038583e+03;1.043209e+03;1.047648e+03;1.051882e+03;1.055891e+03;1.059660e+03;1.063173e+03;1.066415e+03;1.069372e+03;1.072033e+03;1.074386e+03;1.076421e+03;1.078130e+03;1.079506e+03;1.080543e+03;1.081236e+03;1.081584e+03;1.081584e+03;1.081236e+03;1.080543e+03;1.079506e+03;1.078130e+03;1.076421e+03;1.074386e+03;1.072033e+03;1.069373e+03;1.066415e+03;1.063174e+03;1.059661e+03;1.055892e+03;1.051882e+03;1.047649e+03;1.043210e+03;1.038583e+03;1.033789e+03;1.028848e+03;1.023779e+03;1.018606e+03;1.013349e+03;1.008032e+03;1.002676e+03;9.999908e+02;9.999908e+02;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00
1.000198e+00;3.518784e+01;5.888088e+02;1.004913e+03;1.161918e+03;9.995917e+02;5.888621e+02;6.996649e+02;6.965085e+02;1.161918e+03;1.161694e+03;1.160757e+03;1.157993e+03;1.150737e+03;1.133776e+03;1.099099e+03;6.996649e+02;6.951096e+02;6.901229e+02;5.750033e+02;7.607821e-01;1.004913e+03;1.015621e+03;1.036740e+03;1.047062e+03;1.057168e+03;1.067016e+03;1.076563e+03;1.085771e+03;1.094600e+03;1.103015e+03;1.110980e+03;1.118463e+03;1.125434e+03;1.131865e+03;1.137728e+03;1.143002e+03;1.147663e+03;1.151695e+03;1.155079e+03;1.157803e+03;1.159856e+03;1.161229e+03;1.161918e+03;1.161918e+03;1.161231e+03;1.159859e+03;1.157807e+03;1.155084e+03;1.151701e+03;1.147671e+03;1.143010e+03;1.137738e+03;1.131875e+03;1.125446e+03;1.118477e+03;1.110995e+03;1.103032e+03;1.094619e+03;1.085791e+03;1.076586e+03;1.067041e+03;1.057197e+03;1.047094e+03;1.036775e+03;1.026284e+03;1.015664e+03;1.004960e+03;9.995916e+02;9.995917e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00
1.507135e+00;3.336686e+01;5.839093e+02;1.005426e+03;1.241039e+03;9.976312e+02;5.768640e+02;6.913724e+02;5.955283e+02;1.241039e+03;1.240254e+03;1.237404e+03;1.230664e+03;1.216561e+03;1.189788e+03;1.143823e+03;6.913724e+02;6.863295e+02;6.816108e+02;5.772858e+02;7.376019e-01;1.005426e+03;1.021574e+03;1.053396e+03;1.068940e+03;1.084149e+03;1.098958e+03;1.113298e+03;1.127115e+03;1.140354e+03;1.152962e+03;1.164890e+03;1.176090e+03;1.186519e+03;1.196135e+03;1.204900e+03;1.212780e+03;1.219744e+03;1.225766e+03;1.230820e+03;1.234888e+03;1.237954e+03;1.240006e+03;1.241035e+03;1.241039e+03;1.240016e+03;1.237971e+03;1.234913e+03;1.230852e+03;1.225805e+03;1.219791e+03;1.212834e+03;1.204962e+03;1.196206e+03;1.186599e+03;1.176180e+03;1.164989e+03;1.153073e+03;1.140474e+03;1.127248e+03;1.113445e+03;1.099120e+03;1.084329e+03;1.069139e+03;1.053617e+03;1.037828e+03;1.021842e+03;1.005720e+03;9.976304e+02;9.976312e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;5.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
2.003892e+00;2.642172e+01;5.831204e+02;1.003324e+03;1.315450e+03;9.935254e+02;5.764056e+02;6.957585e+02;5.934493e+02;1.315450e+03;1.313906e+03;1.308653e+03;1.297539e+03;1.276879e+03;1.241638e+03;1.186092e+03;6.957585e+02;6.900684e+02;6.848547e+02;5.735824e+02;7.507440e-01;1.003324e+03;1.024808e+03;1.067141e+03;1.087815e+03;1.108019e+03;1.127656e+03;1.146657e+03;1.164954e+03;1.182471e+03;1.199144e+03;1.214913e+03;1.229713e+03;1.243489e+03;1.256188e+03;1.267760e+03;1.278161e+03;1.287352e+03;1.295295e+03;1.301962e+03;1.307328e+03;1.311371e+03;1.314079e+03;1.315440e+03;1.315450e+03;1.314109e+03;1.311422e+03;1.307399e+03;1.302056e+03;1.295412e+03;1.287494e+03;1.278330e+03;1.267958e+03;1.256417e+03;1.243751e+03;1.230010e+03;1.215245e+03;1.199518e+03;1.182882e+03;1.165408e+03;1.147162e+03;1.128213e+03;1.108632e+03;1.088490e+03;1.067880e+03;1.046911e+03;1.025681e+03;1.004267e+03;9.935198e+02;9.935254e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;5.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
2.500654e+00;2.697037e+01;5.802064e+02;9.987263e+02;1.386568e+03;9.872164e+02;5.760374e+02;7.049031e+02;5.892964e+02;1.386568e+03;1.384189e+03;1.376382e+03;1.360876e+03;1.333949e+03;1.290665e+03;1.225619e+03;7.049031e+02;6.986206e+02;6.929299e+02;5.738435e+02;7.544837e-01;9.987263e+02;1.025494e+03;1.078264e+03;1.104025e+03;1.129142e+03;1.153538e+03;1.177135e+03;1.199846e+03;1.221582e+03;1.242268e+03;1.261829e+03;1.280187e+03;1.297270e+03;1.313016e+03;1.327363e+03;1.340259e+03;1.351660e+03;1.361517e+03;1.369797e+03;1.376473e+03;1.381505e+03;1.384861e+03;1.386549e+03;1.386568e+03;1.384917e+03;1.381603e+03;1.376639e+03;1.370045e+03;1.361843e+03;1.352064e+03;1.340740e+03;1.327911e+03;1.313630e+03;1.297952e+03;1.280939e+03;1.262654e+03;1.243173e+03;1.222561e+03;1.200906e+03;1.178285e+03;1.154780e+03;1.130479e+03;1.105462e+03;1.079806e+03;1.053682e+03;1.027241e+03;1.000580e+03;9.871990e+02;9.872164e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;5.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
3.004946e+00;2.868160e+01;5.812924e+02;9.922247e+02;1.455684e+03;9.789576e+02;5.757143e+02;7.164413e+02;5.899203e+02;1.455684e+03;1.452432e+03;1.441988e+03;1.422034e+03;1.388850e+03;1.337578e+03;1.262880e+03;7.164413e+02;7.095748e+02;7.033547e+02;5.743859e+02;7.551090e-01;9.922247e+02;1.024239e+03;1.087397e+03;1.118186e+03;1.148165e+03;1.177274e+03;1.205414e+03;1.232502e+03;1.258423e+03;1.283088e+03;1.306409e+03;1.328287e+03;1.348643e+03;1.367411e+03;1.384514e+03;1.399905e+03;1.413533e+03;1.425338e+03;1.435285e+03;1.443368e+03;1.449620e+03;1.453636e+03;1.455656e+03;1.455684e+03;1.453722e+03;1.449777e+03;1.443865e+03;1.436009e+03;1.426240e+03;1.414594e+03;1.401085e+03;1.385661e+03;1.368607e+03;1.349914e+03;1.329639e+03;1.307851e+03;1.284635e+03;1.260062e+03;1.234245e+03;1.207273e+03;1.179246e+03;1.150256e+03;1.120398e+03;1.089740e+03;1.058459e+03;1.026819e+03;9.949308e+02;9.789272e+02;9.789576e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
3.501715e+00;3.041166e+01;5.819396e+02;9.847339e+02;1.520975e+03;9.696204e+02;5.754292e+02;7.284810e+02;5.900883e+02;1.520975e+03;1.516864e+03;1.503829e+03;1.479518e+03;1.440164e+03;1.380993e+03;1.296832e+03;7.284810e+02;7.210583e+02;7.143163e+02;5.749288e+02;7.559885e-01;9.847339e+02;1.021765e+03;1.094862e+03;1.130436e+03;1.165052e+03;1.198651e+03;1.231130e+03;1.262399e+03;1.292315e+03;1.320768e+03;1.347665e+03;1.372898e+03;1.396382e+03;1.418055e+03;1.437825e+03;1.455626e+03;1.471399e+03;1.485074e+03;1.496624e+03;1.506081e+03;1.513950e+03;1.518600e+03;1.520938e+03;1.520975e+03;1.518715e+03;1.514167e+03;1.507348e+03;1.498286e+03;1.487013e+03;1.473570e+03;1.457820e+03;1.439589e+03;1.419812e+03;1.398196e+03;1.374786e+03;1.349648e+03;1.322865e+03;1.294513e+03;1.264713e+03;1.233575e+03;1.201218e+03;1.167754e+03;1.133271e+03;1.097840e+03;1.061613e+03;1.024990e+03;9.880961e+02;9.695792e+02;9.696204e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
4.006015e+00;3.223066e+01;5.828931e+02;9.765624e+02;1.584548e+03;9.594880e+02;5.751638e+02;7.409075e+02;5.907039e+02;1.584548e+03;1.579564e+03;1.563900e+03;1.535163e+03;1.489594e+03;1.422354e+03;1.328506e+03;7.409075e+02;7.329442e+02;7.256879e+02;5.754761e+02;7.568195e-01;9.765624e+02;1.018515e+03;1.101355e+03;1.141614e+03;1.180764e+03;1.218751e+03;1.255487e+03;1.290848e+03;1.324662e+03;1.356816e+03;1.387213e+03;1.415748e+03;1.442326e+03;1.466857e+03;1.489229e+03;1.509372e+03;1.527227e+03;1.542717e+03;1.555817e+03;1.566597e+03;1.576582e+03;1.581854e+03;1.584501e+03;1.584548e+03;1.581996e+03;1.576856e+03;1.569149e+03;1.558904e+03;1.546156e+03;1.530948e+03;1.512625e+03;1.491505e+03;1.469072e+03;1.444579e+03;1.418068e+03;1.389626e+03;1.359349e+03;1.327300e+03;1.293611e+03;1.258391e+03;1.221785e+03;1.183939e+03;1.144927e+03;1.104821e+03;1.063747e+03;1.022237e+03;9.804274e+02;9.594391e+02;9.594880e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
4.502790e+00;3.399809e+01;5.838224e+02;9.682936e+02;1.644598e+03;9.492549e+02;5.749203e+02;7.531652e+02;5.913260e+02;1.644598e+03;1.638754e+03;1.620493e+03;1.587402e+03;1.535658e+03;1.460502e+03;1.357203e+03;7.531652e+02;7.446929e+02;7.369498e+02;5.760059e+02;7.576296e-01;9.682936e+02;1.014921e+03;1.107000e+03;1.151694e+03;1.195139e+03;1.237290e+03;1.278058e+03;1.317284e+03;1.354783e+03;1.390443e+03;1.424176e+03;1.455856e+03;1.485354e+03;1.512570e+03;1.537391e+03;1.559738e+03;1.579543e+03;1.596725e+03;1.611264e+03;1.623257e+03;1.635746e+03;1.641602e+03;1.644543e+03;1.644598e+03;1.641771e+03;1.636073e+03;1.627525e+03;1.616159e+03;1.602015e+03;1.585139e+03;1.563839e+03;1.540042e+03;1.515120e+03;1.487932e+03;1.458498e+03;1.426915e+03;1.393304e+03;1.357753e+03;1.320385e+03;1.281309e+03;1.240678e+03;1.198670e+03;1.155371e+03;1.110845e+03;1.065173e+03;1.019025e+03;9.725453e+02;9.492009e+02;9.492549e+02;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;7.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00;2.000000e+00
