time ;httemp 555000101;httemp 555000201;httemp 555000301;httemp 555000401;httemp 555000501;httemp 555000601;httemp 555000701;httemp 555000801;httemp 555000901;httemp 555001001;httemp 555001101;httemp 555001201;httemp 555001301;httemp 555001401;httemp 555001501;httemp 555001601;httemp 555001701;httemp 555001801;httemp 555001901;httemp 555002001;httemp 555002101;httemp 555002201;httemp 555002301;httemp 555002401;httemp 555002501;httemp 555002601;httemp 555002701;httemp 555002801;httemp 555002901;httemp 555003001;httemp 555003101;httemp 555003201;httemp 555003301;httemp 555003401;httemp 555003501;httemp 555003601;httemp 555003701;httemp 555003801;httemp 555003901;httemp 555004001;httemp 555004101;httemp 555004201;httemp 555004301;httemp 555004401;httemp 555004501;httemp 555004601;httemp 555004701;httemp 555004801;httemp 555004901;httemp 555005001;httemp 555000108;httemp 555000208;httemp 555000308;httemp 555000408;httemp 555000508;httemp 555000608;httemp 555000708;httemp 555000808;httemp 555000908;httemp 555001008;httemp 555001108;httemp 555001208;httemp 555001308;httemp 555001408;httemp 555001508;httemp 555001608;httemp 555001708;httemp 555001808;httemp 555001908;httemp 555002008;httemp 555002108;httemp 555002208;httemp 555002308;httemp 555002408;httemp 555002508;httemp 555002608;httemp 555002708;httemp 555002808;httemp 555002908;httemp 555003008;httemp 555003108;httemp 555003208;httemp 555003308;httemp 555003408;httemp 555003508;httemp 555003608;httemp 555003708;httemp 555003808;httemp 555003908;httemp 555004008;httemp 555004108;httemp 555004208;httemp 555004308;httemp 555004408;httemp 555004508;httemp 555004608;httemp 555004708;httemp 555004808;httemp 555004908;httemp 555005008
0.000000e+00;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02;6.000000e+02
5.001979e-01;6.028682e+02;6.087479e+02;6.145779e+02;6.203331e+02;6.259886e+02;6.315215e+02;6.369091e+02;6.421293e+02;6.471608e+02;6.519831e+02;6.565768e+02;6.609232e+02;6.650051e+02;6.688060e+02;6.723109e+02;6.755063e+02;6.783808e+02;6.809225e+02;6.831210e+02;6.849671e+02;6.864532e+02;6.875732e+02;6.883224e+02;6.886979e+02;6.886979e+02;6.883225e+02;6.875733e+02;6.864533e+02;6.849672e+02;6.831211e+02;6.809227e+02;6.783810e+02;6.755065e+02;6.723112e+02;6.688063e+02;6.650055e+02;6.609238e+02;6.565774e+02;6.519838e+02;6.471617e+02;6.421304e+02;6.369105e+02;6.315232e+02;6.259907e+02;6.203356e+02;6.145810e+02;6.087517e+02;6.028728e+02;5.999225e+02;5.999225e+02;5.703358e+02;5.711309e+02;5.719315e+02;5.727341e+02;5.735355e+02;5.743325e+02;5.751235e+02;5.759106e+02;5.766866e+02;5.774467e+02;5.781872e+02;5.789053e+02;5.795980e+02;5.802631e+02;5.808981e+02;5.815009e+02;5.820695e+02;5.826022e+02;5.830969e+02;5.835517e+02;5.839646e+02;5.843333e+02;5.846552e+02;5.849274e+02;5.851473e+02;5.853116e+02;5.854175e+02;5.854623e+02;5.854441e+02;5.853612e+02;5.852130e+02;5.849998e+02;5.847224e+02;5.843829e+02;5.839839e+02;5.835287e+02;5.830211e+02;5.824650e+02;5.818649e+02;5.812252e+02;5.805505e+02;5.798464e+02;5.791205e+02;5.783738e+02;5.776072e+02;5.768242e+02;5.760282e+02;5.752231e+02;5.747733e+02;5.746846e+02
1.000198e+00;6.045495e+02;6.162469e+02;6.278073e+02;6.391779e+02;6.503252e+02;6.612090e+02;6.717868e+02;6.820246e+02;6.918947e+02;7.013574e+02;7.103777e+02;7.189201e+02;7.269487e+02;7.344299e+02;7.413327e+02;7.476287e+02;7.532918e+02;7.582990e+02;7.626295e+02;7.662659e+02;7.691933e+02;7.713998e+02;7.728763e+02;7.736170e+02;7.736188e+02;7.728818e+02;7.714090e+02;7.692063e+02;7.662828e+02;7.626503e+02;7.583238e+02;7.533209e+02;7.476620e+02;7.413705e+02;7.344722e+02;7.269957e+02;7.189720e+02;7.104345e+02;7.014190e+02;6.919612e+02;6.820963e+02;6.718640e+02;6.612925e+02;6.504154e+02;6.392752e+02;6.279131e+02;6.163639e+02;6.046801e+02;5.988117e+02;5.988102e+02;5.697935e+02;5.711324e+02;5.724780e+02;5.738282e+02;5.751879e+02;5.765616e+02;5.779265e+02;5.792756e+02;5.806029e+02;5.819020e+02;5.831671e+02;5.843922e+02;5.855714e+02;5.866990e+02;5.877692e+02;5.887766e+02;5.897161e+02;5.905833e+02;5.913741e+02;5.920843e+02;5.927096e+02;5.932476e+02;5.936964e+02;5.940545e+02;5.943206e+02;5.944934e+02;5.945722e+02;5.945564e+02;5.944457e+02;5.942402e+02;5.939414e+02;5.935518e+02;5.930737e+02;5.925096e+02;5.918625e+02;5.911362e+02;5.903350e+02;5.894631e+02;5.885250e+02;5.875253e+02;5.864689e+02;5.853610e+02;5.842071e+02;5.830128e+02;5.817913e+02;5.805545e+02;5.792905e+02;5.780007e+02;5.773284e+02;5.772874e+02
1.507215e+00;6.046191e+02;6.219252e+02;6.389417e+02;6.556386e+02;6.719788e+02;6.879203e+02;7.034325e+02;7.184814e+02;7.330133e+02;7.469639e+02;7.602722e+02;7.728811e+02;7.847368e+02;7.957870e+02;8.059841e+02;8.152860e+02;8.236542e+02;8.310546e+02;8.374565e+02;8.428340e+02;8.471649e+02;8.504316e+02;8.526208e+02;8.537238e+02;8.537358e+02;8.526570e+02;8.504920e+02;8.472496e+02;8.429431e+02;8.375901e+02;8.312129e+02;8.238375e+02;8.154943e+02;8.062177e+02;7.960459e+02;7.850212e+02;7.731907e+02;7.606067e+02;7.473228e+02;7.333956e+02;7.188859e+02;7.038571e+02;6.883644e+02;6.724440e+02;6.561287e+02;6.394579e+02;6.224760e+02;6.052191e+02;5.965528e+02;5.965460e+02;5.695295e+02;5.713187e+02;5.731147e+02;5.749308e+02;5.767818e+02;5.786299e+02;5.804676e+02;5.822870e+02;5.840802e+02;5.858375e+02;5.875477e+02;5.892032e+02;5.907967e+02;5.923062e+02;5.937293e+02;5.950673e+02;5.963156e+02;5.974692e+02;5.985229e+02;5.994722e+02;6.003129e+02;6.010412e+02;6.016541e+02;6.021487e+02;6.025232e+02;6.027758e+02;6.029055e+02;6.029120e+02;6.027952e+02;6.025558e+02;6.021949e+02;6.017142e+02;6.011160e+02;6.004026e+02;5.995766e+02;5.986381e+02;5.975809e+02;5.964207e+02;5.951672e+02;5.938256e+02;5.924054e+02;5.909144e+02;5.893592e+02;5.877463e+02;5.860824e+02;5.843860e+02;5.826717e+02;5.809157e+02;5.799866e+02;5.799085e+02
2.004053e+00;6.038734e+02;6.261750e+02;6.480308e+02;6.694399e+02;6.903765e+02;7.108343e+02;7.308178e+02;7.502465e+02;7.690291e+02;7.870820e+02;8.043159e+02;8.206501e+02;8.360147e+02;8.503444e+02;8.635776e+02;8.756568e+02;8.865276e+02;8.961444e+02;9.044672e+02;9.114614e+02;9.170979e+02;9.213536e+02;9.242109e+02;9.256581e+02;9.256894e+02;9.243048e+02;9.215103e+02;9.173174e+02;9.117439e+02;9.048130e+02;8.965536e+02;8.870003e+02;8.761931e+02;8.641774e+02;8.510071e+02;8.367400e+02;8.214373e+02;8.051644e+02;7.879907e+02;7.699949e+02;7.512659e+02;7.318866e+02;7.119462e+02;6.915272e+02;6.706366e+02;6.492828e+02;6.274986e+02;6.053015e+02;5.941628e+02;5.941494e+02;5.693668e+02;5.715299e+02;5.737044e+02;5.759258e+02;5.781695e+02;5.804116e+02;5.826442e+02;5.848551e+02;5.870261e+02;5.891494e+02;5.912073e+02;5.931703e+02;5.950551e+02;5.968558e+02;5.985645e+02;6.001743e+02;6.016781e+02;6.030690e+02;6.043409e+02;6.054883e+02;6.065063e+02;6.073906e+02;6.081376e+02;6.087443e+02;6.092082e+02;6.095273e+02;6.097005e+02;6.097271e+02;6.096069e+02;6.093406e+02;6.089293e+02;6.083751e+02;6.076804e+02;6.068486e+02;6.058837e+02;6.047892e+02;6.035701e+02;6.022311e+02;6.007685e+02;5.991729e+02;5.974780e+02;5.956886e+02;5.938201e+02;5.918838e+02;5.898868e+02;5.878362e+02;5.857703e+02;5.836632e+02;5.825563e+02;5.824855e+02
2.500894e+00;6.028650e+02;6.296140e+02;6.557654e+02;6.813552e+02;7.063901e+02;7.309694e+02;7.550375e+02;7.784753e+02;8.011697e+02;8.229911e+02;8.438408e+02;8.636290e+02;8.822630e+02;8.996505e+02;9.157146e+02;9.303845e+02;9.435969e+02;9.552938e+02;9.654216e+02;9.739372e+02;9.808045e+02;9.859951e+02;9.894872e+02;9.912664e+02;9.913254e+02;9.896641e+02;9.862900e+02;9.812176e+02;9.744686e+02;9.660717e+02;9.560626e+02;9.444845e+02;9.313907e+02;9.168389e+02;9.008924e+02;8.836210e+02;8.651008e+02;8.454228e+02;8.246799e+02;8.029637e+02;7.803689e+02;7.570187e+02;7.330291e+02;7.085137e+02;6.835433e+02;6.580482e+02;6.320109e+02;6.054417e+02;5.921266e+02;5.921057e+02;5.692488e+02;5.717341e+02;5.742355e+02;5.768065e+02;5.793874e+02;5.819694e+02;5.845375e+02;5.870660e+02;5.895511e+02;5.919482e+02;5.942611e+02;5.964975e+02;5.986473e+02;6.007025e+02;6.026525e+02;6.044886e+02;6.062029e+02;6.077884e+02;6.092387e+02;6.105507e+02;6.117181e+02;6.127344e+02;6.135950e+02;6.142962e+02;6.148353e+02;6.152101e+02;6.154192e+02;6.154618e+02;6.153381e+02;6.150494e+02;6.145992e+02;6.139884e+02;6.132177e+02;6.122902e+02;6.112098e+02;6.099813e+02;6.086111e+02;6.071050e+02;6.054686e+02;6.037082e+02;6.018002e+02;5.997737e+02;5.976437e+02;5.954299e+02;5.931483e+02;5.908060e+02;5.884283e+02;5.860209e+02;5.847618e+02;5.846981e+02
3.005263e+00;6.018184e+02;6.325393e+02;6.625314e+02;6.918483e+02;7.206044e+02;7.489575e+02;7.767759e+02;8.039185e+02;8.302104e+02;8.555316e+02;8.797682e+02;9.027872e+02;9.244771e+02;9.447377e+02;9.634741e+02;9.805912e+02;9.960134e+02;1.009674e+03;1.021511e+03;1.031472e+03;1.039515e+03;1.045604e+03;1.049711e+03;1.051817e+03;1.051911e+03;1.049995e+03;1.046077e+03;1.040177e+03;1.032323e+03;1.022551e+03;1.010903e+03;9.974321e+02;9.821984e+02;9.652693e+02;9.467197e+02;9.266426e+02;9.051335e+02;8.822899e+02;8.582198e+02;8.330553e+02;8.069170e+02;7.799165e+02;7.522167e+02;7.239619e+02;6.952841e+02;6.660972e+02;6.362809e+02;6.058256e+02;5.905882e+02;5.905604e+02;5.691541e+02;5.719241e+02;5.747230e+02;5.775909e+02;5.804684e+02;5.833450e+02;5.861910e+02;5.889951e+02;5.917143e+02;5.943477e+02;5.969069e+02;5.993819e+02;6.017604e+02;6.040306e+02;6.061829e+02;6.082087e+02;6.101072e+02;6.118669e+02;6.134782e+02;6.149341e+02;6.162285e+02;6.173560e+02;6.183124e+02;6.190938e+02;6.196973e+02;6.201206e+02;6.203620e+02;6.204207e+02;6.202963e+02;6.199895e+02;6.195018e+02;6.188357e+02;6.179939e+02;6.169844e+02;6.158104e+02;6.144718e+02;6.129738e+02;6.113231e+02;6.095293e+02;6.075981e+02;6.055380e+02;6.033203e+02;6.009781e+02;5.985268e+02;5.959955e+02;5.933985e+02;5.907500e+02;5.880778e+02;5.866853e+02;5.866277e+02
3.502105e+00;6.008567e+02;6.350046e+02;6.683138e+02;7.008359e+02;7.328831e+02;7.645676e+02;7.957234e+02;8.261418e+02;8.556556e+02;8.841379e+02;9.114191e+02;9.373577e+02;9.618301e+02;9.846986e+02;1.005856e+03;1.025207e+03;1.042661e+03;1.058152e+03;1.071602e+03;1.082941e+03;1.092110e+03;1.099056e+03;1.103745e+03;1.106163e+03;1.106298e+03;1.104152e+03;1.099734e+03;1.093061e+03;1.084163e+03;1.073094e+03;1.059914e+03;1.044693e+03;1.027505e+03;1.008420e+03;9.875260e+02;9.649188e+02;9.407021e+02;9.150112e+02;8.879679e+02;8.597055e+02;8.303914e+02;8.001724e+02;7.691810e+02;7.376310e+02;7.056766e+02;6.733075e+02;6.402485e+02;6.064564e+02;5.895766e+02;5.895433e+02;5.690767e+02;5.720915e+02;5.751484e+02;5.782665e+02;5.813973e+02;5.845182e+02;5.875948e+02;5.906158e+02;5.935319e+02;5.963803e+02;5.991490e+02;6.018232e+02;6.043895e+02;6.068378e+02;6.091641e+02;6.113620e+02;6.134163e+02;6.153172e+02;6.170569e+02;6.186290e+02;6.200271e+02;6.212461e+02;6.222816e+02;6.231295e+02;6.237869e+02;6.242512e+02;6.245208e+02;6.245944e+02;6.244717e+02;6.241531e+02;6.236396e+02;6.229334e+02;6.220369e+02;6.209547e+02;6.196916e+02;6.182600e+02;6.166591e+02;6.148915e+02;6.129644e+02;6.108895e+02;6.086740e+02;6.063253e+02;6.038025e+02;6.011620e+02;5.984196e+02;5.956054e+02;5.927274e+02;5.898288e+02;5.883226e+02;5.882703e+02
4.006477e+00;5.999796e+02;6.371716e+02;6.734197e+02;7.087965e+02;7.438243e+02;7.785325e+02;8.127251e+02;8.461352e+02;8.786353e+02;9.100304e+02;9.401364e+02;9.688010e+02;9.958477e+02;1.021155e+03;1.044603e+03;1.066106e+03;1.085556e+03;1.102821e+03;1.117783e+03;1.130374e+03;1.140541e+03;1.148249e+03;1.153467e+03;1.156172e+03;1.156353e+03;1.154010e+03;1.149154e+03;1.141808e+03;1.132004e+03;1.119778e+03;1.105179e+03;1.088281e+03;1.069187e+03;1.048034e+03;1.024932e+03;9.999675e+02;9.732571e+02;9.449214e+02;9.151279e+02;8.840272e+02;8.517855e+02;8.186107e+02;7.846494e+02;7.501047e+02;7.151898e+02;6.799703e+02;6.440502e+02;6.073077e+02;5.889811e+02;5.889438e+02;5.690098e+02;5.722416e+02;5.755261e+02;5.788655e+02;5.822166e+02;5.855428e+02;5.888273e+02;5.920153e+02;5.951265e+02;5.981643e+02;6.011140e+02;6.039591e+02;6.066882e+02;6.093005e+02;6.117854e+02;6.141253e+02;6.163100e+02;6.183309e+02;6.201802e+02;6.218511e+02;6.233376e+02;6.246346e+02;6.257377e+02;6.266431e+02;6.273472e+02;6.278475e+02;6.281423e+02;6.282303e+02;6.281108e+02;6.277838e+02;6.272502e+02;6.265117e+02;6.255709e+02;6.244315e+02;6.230977e+02;6.215768e+02;6.198807e+02;6.180134e+02;6.159747e+02;6.137731e+02;6.114224e+02;6.089306e+02;6.062786e+02;6.034772e+02;6.005532e+02;5.975480e+02;5.944731e+02;5.913706e+02;5.897648e+02;5.897173e+02
4.503321e+00;5.992159e+02;6.390315e+02;6.778005e+02;7.156558e+02;7.532941e+02;7.906649e+02;8.275141e+02;8.635960e+02;8.987591e+02;9.327631e+02;9.654183e+02;9.965139e+02;1.025901e+03;1.053453e+03;1.079071e+03;1.102582e+03;1.123779e+03;1.142542e+03;1.158814e+03;1.172525e+03;1.183605e+03;1.192011e+03;1.197709e+03;1.200679e+03;1.200908e+03;1.198396e+03;1.193155e+03;1.185207e+03;1.174586e+03;1.161334e+03;1.145516e+03;1.127212e+03;1.106473e+03;1.083419e+03;1.058232e+03;1.031102e+03;1.002132e+03;9.714431e+02;9.391776e+02;9.055423e+02;8.707058e+02;8.348907e+02;7.983184e+02;7.611387e+02;7.236414e+02;6.859382e+02;6.475704e+02;6.082975e+02;5.887321e+02;5.886923e+02;5.689528e+02;5.723716e+02;5.758510e+02;5.793802e+02;5.829169e+02;5.864165e+02;5.898723e+02;5.932114e+02;5.964883e+02;5.996880e+02;6.027896e+02;6.057800e+02;6.086550e+02;6.114102e+02;6.140223e+02;6.164801e+02;6.187734e+02;6.208937e+02;6.228335e+02;6.245872e+02;6.261494e+02;6.275136e+02;6.286750e+02;6.296292e+02;6.303730e+02;6.309037e+02;6.312192e+02;6.313184e+02;6.312006e+02;6.308666e+02;6.303181e+02;6.295547e+02;6.285784e+02;6.273925e+02;6.260016e+02;6.244114e+02;6.226303e+02;6.206734e+02;6.185410e+02;6.162352e+02;6.137682e+02;6.111520e+02;6.083929e+02;6.054515e+02;6.023802e+02;5.992118e+02;5.959709e+02;5.926926e+02;5.910021e+02;5.909589e+02
